variable_name,units,value,data_reference
E_Na_If,millivolt,137,Fabbri_2017_Computational
E_K_If,millivolt,-87,Fabbri_2017_Computational
g_f_If,microS,0.00427,Fabbri_2017_Computational
Km_f_If,millimolar,45,Fabbri_2017_Computational
alpha_If,dimensionless,0.5927,Fabbri_2017_Computational
Ko_If,millimolar,5.4,Fabbri_2017_Computational
blockade_If,dimensionless,0,user_defined
y_init_Ifg,dimensionless,1330000,Fabbri_2017_Computational
K_If_Ifg,millivolt,24.4,Fabbri_2017_Computational
K05_If_Ifg,uM,17.33,Fabbri_2017_Computational
cAMP_iter_Ifg,dimensionless,1,user_defined
y_shift_Ifg,millivolt,0,Fabbri_2017_Computational
C_hrv,microF,0.000057,Fabbri_2017_Computational
V_init_hrv,millivolt,-47.787168,Fabbri_2017_Computational
ACh_init_NES,nM,0,user_defined
AC2cAMP_conversion_NES,per_cmeter3,0.48082410349,28_03_2025_identified
Area_betaAR_NES,umeter2,1,user_defined
EC50_beta1_NES,nM,121.72899255,28_03_2025_identified
EC50_beta2_NES,nM,624.2605652,28_03_2025_identified
IC50_beta2_NES,nM,4000,to_be_identified
k_beta1_NES,dimensionless,0.76,to_be_identified
K_beta2_NES,dimensionless,0.22,to_be_identified
AC_maxstimulated_NES,nmole,1000,28_03_2025_identified
k_b1coupleGs_NES,dimensionless,0.72,Wollemann_1975
k_b2coupleGs_NES,dimensionless,0.99,Wollemann_1975
k_b2coupleGi_NES,dimensionless,0.99,Wollemann_1975
beta_ntotal_NES,nmol_per_umeter2,1,user_defined
PDE_trans_NES,dimensionless,0.8,to_be_identified
T_cAMPPKA_NES,uM,43.1167,Linder_2024
T_PKAPbeta2_NES,dimensionless,0.7,Linder_2024
PKA_init_NES,dimensionless,0,user_defined
M2_max_NES,nmol_per_umeter2,382.12725638,calibrated1_result
Area_M2R_NES,umeter2,1,user_defined
IC50_M2_NES,nM,1000,calibrated1_result
k_M2bindGi_NES,dimensionless,0.99,Wollemann_1975
EC50_Gs_NES,nmole,0.01,28_03_2025_identified
k_Gi_NES,dimensionless,250.2233872,calibrated1_result
ACCa_max_NES,nmol_per_umeter2,10,to_be_identified
Area_Ca_NES,umeter2,1,user_defined
EC50_Ca_NES,nM,8,to_be_identified
CaMKII_NES,nM,4,to_be_identified
ISO_init_NES,nM,1,user_defined
